Income,Credit Score,Age,Loan Amount,Employment Years,Loan Approved
51805.51,732,45,13451.86,9.3,Yes
100641.55,655,35,36249.51,14.7,Yes
73001.36,725,34,27666.41,10.0,Yes
60203.36,614,28,25010.87,6.6,Yes
91259.61,803,52,53288.62,6.2,Yes
17246.46,640,21,2000.0,1.1,Yes
20689.74,728,45,9645.94,2.4,Yes
82508.45,770,33,35371.14,6.3,Yes
66330.31,719,33,32703.63,4.8,Yes
70509.82,697,54,13304.98,24.1,Yes
35819.29,691,30,13288.98,6.5,Yes
64488.86,686,31,32391.6,7.9,Yes
109077.21,647,36,60651.08,10.1,Yes
83132.39,656,42,22145.85,3.2,Yes
68733.54,801,33,9050.73,7.4,Yes
55340.81,682,22,8176.56,0.0,Yes
56319.4,631,29,18910.92,5.8,Yes
18157.65,651,50,5487.78,16.7,Yes
70668.09,773,38,23520.1,4.1,Yes
83600.63,741,42,13433.82,19.9,Yes
30336.37,732,35,21286.52,1.9,No
50448.83,671,31,33187.89,6.8,Yes
39535.78,733,54,20074.9,21.4,Yes
43762.27,642,36,2000.0,8.1,Yes
66176.6,671,33,32478.74,12.3,Yes
19143.15,763,48,16076.08,19.9,Yes
78513.95,756,30,19611.32,4.6,Yes
81584.81,616,32,27333.48,6.1,Yes
59475.74,626,38,17743.64,6.7,Yes
15000.0,698,38,2554.66,12.7,Yes
43078.79,819,40,24271.94,7.5,Yes
92123.84,546,58,31636.97,25.7,Yes
15000.0,711,41,13823.15,9.5,Yes
57354.48,587,21,6637.5,1.4,Yes
39039.98,642,41,17119.79,13.8,Yes
82700.55,663,38,9384.92,8.7,Yes
50147.49,658,38,9932.84,13.3,Yes
73886.99,650,40,22886.03,12.1,Yes
77440.13,691,37,17444.72,5.3,Yes
105396.97,650,37,45525.95,13.9,Yes
60535.28,580,44,38250.42,5.2,Yes
73272.98,748,32,29838.53,5.8,Yes
32328.78,746,28,11073.19,5.9,Yes
91189.1,753,65,36114.25,23.5,Yes
48268.81,574,30,11874.22,2.0,No
52663.41,712,39,45392.01,16.5,Yes
64510.55,741,23,30704.68,1.6,No
30616.54,613,39,10403.74,10.1,Yes
70032.94,691,28,10319.39,3.3,Yes
86284.26,681,33,49158.32,9.2,Yes
71444.54,828,48,10065.23,14.6,Yes
30044.25,834,42,2000.0,7.6,No
62276.2,565,43,13238.71,11.4,Yes
81324.64,850,21,8842.23,4.4,Yes
23684.25,621,56,17533.46,18.2,Yes
41355.15,764,26,22726.72,1.5,Yes
84283.96,763,53,30537.6,16.5,Yes
70942.1,615,48,31708.37,15.2,Yes
74063.37,727,43,25152.25,17.2,Yes
105908.89,682,29,41714.64,4.8,Yes
75308.16,732,39,34657.95,10.3,Yes
79473.54,707,33,41354.31,4.2,Yes
124636.4,780,38,57495.99,12.8,Yes
60296.3,696,35,26347.23,4.2,No
47446.58,677,21,42206.59,0.0,Yes
74411.52,772,49,4158.92,6.6,Yes
74657.8,734,37,2000.0,10.1,Yes
53412.26,745,33,37379.43,5.5,Yes
42287.27,640,32,6002.93,6.0,Yes
115816.58,612,41,14825.76,10.0,Yes
72190.56,647,29,16615.83,0.0,Yes
48889.72,643,21,12596.73,0.0,Yes
85150.47,749,42,58745.49,5.1,Yes
62598.81,763,43,33914.39,9.0,Yes
59436.61,678,36,30641.46,13.6,No
77370.0,797,26,49372.12,2.9,Yes
36578.59,793,38,13192.53,5.5,Yes
72757.8,708,23,36119.51,0.1,No
107085.01,628,27,29990.6,2.6,Yes
75255.91,808,30,33256.88,0.0,Yes
56723.33,685,46,15590.26,8.2,Yes
53843.68,699,34,4598.44,4.8,Yes
55972.52,665,33,27071.63,4.5,No
59412.82,623,57,15175.38,17.6,Yes
56688.26,580,41,18636.93,5.1,Yes
85158.85,737,41,29589.72,17.9,Yes
26869.4,631,34,2000.0,7.6,Yes
83964.0,850,32,26232.9,10.1,Yes
56646.9,609,21,30697.72,3.5,Yes
73292.85,596,47,50168.2,14.2,Yes
40206.27,728,42,2000.0,4.7,No
94229.88,805,36,50592.97,6.0,Yes
92403.97,695,36,45684.29,15.6,Yes
86110.99,733,45,43583.93,20.1,Yes
31675.39,552,22,5535.07,6.6,Yes
83240.66,639,32,34963.8,6.8,Yes
73906.81,609,26,26527.55,7.2,Yes
29684.03,548,55,11750.86,11.4,Yes
64465.46,699,46,37166.22,19.6,Yes
73019.76,522,21,35376.65,4.2,No
77233.66,591,22,25190.52,0.0,Yes
68899.75,650,36,41189.28,10.0,Yes
71407.09,628,33,18490.37,2.8,Yes
97419.45,720,24,40539.19,0.0,Yes
91972.75,713,57,57563.46,18.6,Yes
15000.0,757,41,2573.4,5.0,Yes
58016.35,746,42,14523.65,10.1,Yes
61377.68,776,31,20492.1,9.6,Yes
26453.83,690,45,14543.49,8.3,Yes
67072.03,713,34,18084.5,7.3,Yes
92472.67,728,35,57143.08,8.4,Yes
41095.51,701,44,23352.05,20.4,Yes
72400.82,660,21,27399.94,1.6,No
44851.88,665,53,15288.36,22.4,Yes
50217.94,629,39,29980.19,8.3,Yes
97502.66,722,50,25707.96,12.0,Yes
53063.73,683,27,2000.0,4.6,Yes
75168.67,640,28,11668.19,5.9,Yes
23833.2,640,26,11102.71,1.1,Yes
105970.99,599,40,35598.02,10.3,No
78258.35,763,38,30161.77,4.6,Yes
60985.0,696,33,23023.55,3.7,Yes
77662.02,625,27,12881.05,3.7,No
33983.97,751,25,3813.95,0.0,Yes
91015.68,648,37,23111.89,7.8,Yes
57872.33,585,33,37790.55,6.6,Yes
60510.47,767,31,18015.43,10.7,Yes
54183.58,650,53,2000.0,22.9,Yes
52225.67,659,37,27611.95,12.4,No
80282.75,693,50,41230.72,19.4,Yes
70629.95,776,32,47883.4,8.5,Yes
79338.46,692,40,30141.95,8.2,Yes
64806.52,600,37,35205.74,11.6,Yes
76290.4,731,21,26864.86,1.7,Yes
55785.33,654,52,25531.86,10.4,Yes
114054.1,832,36,11614.2,1.7,Yes
30505.53,690,45,30049.47,15.7,Yes
92740.62,522,30,50426.09,5.8,No
95093.96,717,36,46920.49,10.5,Yes
46252.51,836,29,2000.0,4.0,Yes
114044.02,808,50,43037.03,18.1,Yes
86900.79,827,41,14273.66,3.2,Yes
86365.06,614,41,30297.2,14.9,Yes
65616.49,758,51,17377.43,22.4,Yes
60221.02,636,49,6282.1,19.7,Yes
60393.01,707,45,26097.29,8.4,Yes
73591.67,595,23,29312.69,0.0,Yes
95826.1,642,31,34428.07,10.8,Yes
68988.91,639,27,3775.69,1.7,Yes
44948.24,757,45,13307.63,13.0,Yes
83137.4,750,39,30153.93,9.9,Yes
85265.32,711,24,41737.75,0.0,Yes
79402.51,589,36,4592.84,3.7,Yes
81400.98,667,23,55207.72,0.0,Yes
59039.58,634,37,26934.35,12.1,Yes
44562.24,755,21,5014.8,0.0,Yes
45899.74,778,43,25643.53,10.2,Yes
29019.81,769,41,9855.05,4.3,Yes
70212.87,633,57,23781.57,18.2,Yes
63164.13,485,46,5133.25,14.5,Yes
55320.27,557,33,2000.0,5.3,Yes
15000.0,797,46,2000.0,16.0,Yes
37559.02,660,24,23680.91,2.6,Yes
89658.49,634,28,27283.7,4.4,Yes
50378.23,813,41,28069.82,13.5,Yes
72933.02,785,21,19377.42,0.0,Yes
34404.92,692,37,18428.91,2.6,Yes
96651.52,668,27,31456.18,9.5,Yes
61831.39,680,39,10954.84,9.2,Yes
71380.89,707,27,8600.65,0.0,Yes
116167.16,810,42,41989.52,10.7,Yes
98361.68,722,38,37492.64,6.0,Yes
58255.56,744,52,20157.04,12.5,Yes
51949.16,778,38,12351.18,6.6,Yes
57838.01,602,30,4577.9,0.2,Yes
76217.76,747,35,30134.76,3.5,Yes
62685.07,668,24,38007.96,4.1,No
56304.63,501,42,21564.47,11.1,Yes
97277.99,530,43,43248.73,13.9,Yes
62487.38,614,62,20327.3,25.3,Yes
115590.96,730,31,58081.12,3.0,No
66996.34,699,35,25919.3,4.1,Yes
104277.0,704,32,53301.73,2.2,Yes
72861.03,836,40,11733.27,9.1,Yes
86185.13,595,41,32596.36,15.1,Yes
49058.56,688,37,28016.67,10.0,Yes
46217.3,713,48,14560.49,10.9,Yes
75113.53,635,31,50856.76,4.7,Yes
86748.17,692,47,13035.99,5.0,Yes
65885.64,570,43,15125.71,18.9,Yes
36699.35,796,37,10602.54,3.7,Yes
35074.32,639,34,2000.0,2.9,Yes
33603.0,842,62,14417.0,17.4,Yes
26112.31,688,29,2082.64,4.1,Yes
67408.68,767,40,36933.96,14.1,Yes
89750.97,686,30,38560.03,9.2,Yes
64704.85,688,55,42437.53,17.7,Yes
15270.88,646,46,8711.35,4.8,Yes
60803.27,699,31,31029.79,2.2,Yes
61418.42,714,43,34152.18,10.7,Yes
111111.97,631,40,37768.46,5.4,Yes
32942.97,681,32,27097.74,4.7,Yes
56405.09,644,45,31660.39,10.1,Yes
102528.76,850,41,11781.02,4.0,Yes
74899.52,683,40,17183.61,12.8,Yes
77392.89,806,37,17144.46,10.0,Yes
67520.86,675,42,10451.77,5.5,Yes
72258.76,709,40,26279.81,8.5,Yes
82107.41,591,38,43563.85,14.4,Yes
47191.3,656,31,10087.31,3.4,Yes
84317.29,706,54,25010.57,13.7,Yes
34793.93,809,27,12832.16,6.6,Yes
72224.1,707,42,23867.06,12.9,Yes
68932.3,794,34,16537.18,5.0,Yes
51441.55,738,55,15484.08,13.4,Yes
64500.92,812,28,18426.03,3.9,Yes
51304.12,686,30,14713.84,1.3,Yes
41422.57,850,28,23169.65,3.6,No
57220.48,654,41,41153.4,7.5,Yes
40712.25,633,24,9343.18,5.4,Yes
72101.54,599,33,40206.3,3.0,Yes
39698.12,850,21,2000.0,0.0,Yes
80663.49,751,40,22916.42,14.1,Yes
39007.46,665,32,3776.24,6.5,Yes
